name	cholesterol	sodium	dietary_fiber	sugars	protein	vitamin_a_dv	vitamin_c_dv	calcium_dv	iron_dv	calories_from_fat	saturated_fat	trans_fat	carbohydrates
SmallFrenchFries	-0.8229185236	-0.3312755953	1.5186943553	-1.4871259014	-0.7725581544	-0.3171382914	-0.0981829535	-0.8536544497	-0.0217847801	0.7732566525	-0.5833734559	-0.4298628772	-0.4921827438
MediumFrenchFries	-0.8229185236	-0.3210223561	1.536416054	-1.4871259014	-0.868757922	-0.3171382914	-0.0908668224	-0.8940762127	-0.0978963941	0.8320408952	-0.5784591521	-0.4298628772	-0.4884889735
LargeFrenchFries	-0.8229185236	-0.3282784946	1.3570724629	-1.4871259014	-0.8124373308	-0.3171382914	-0.0900459882	-0.9089514216	-0.0878931534	0.7976253931	-0.5422898756	-0.4298628772	-0.4935863766
KetchupPacket1pkg	-0.8229185236	4.2442981348	-0.5015793002	0.1797586628	-1.271047859	0.3301307872	0.0555152798	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	0.700905075
KidsFries†	-0.8229185236	-0.3282784946	1.047297169	-1.4871259014	-0.8888724188	-0.3171382914	-0.0900459882	-0.9560562495	0.1021684197	0.8443321459	-0.7140939389	-0.4298628772	-0.4290192711
ChickenMcNuggets®(4piece)	0.2031128861	0.4952932284	0.3136188415	-1.4871259014	0.5392568576	-0.3171382914	-0.1360127044	-0.9560562495	-0.3479774113	1.4466034327	-0.2393721851	-0.4298628772	-1.5079695865
ChickenMcNuggets®(6piece)	0.2910584355	0.5186165308	0.0515908674	-1.4871259014	0.5033381132	-0.3171382914	-0.1412894958	-0.8719404853	-0.1693481133	1.4114855734	-0.2232251866	-0.4298628772	-1.4897645756
ChickenMcNuggets®(10piece)	0.2555059794	0.5091879618	0.1575170697	-1.4871259014	0.5178584567	-0.3171382914	-0.1391563248	-0.9059447304	-0.2415599572	1.4256821548	-0.2297526966	-0.4298628772	-1.4971240481
BarbequeSauce1pkg	-0.8229185236	2.7737207264	-0.5015793002	1.0132009449	-1.271047859	-0.1229575678	-0.1524293888	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	1.3465761299
Honey1pkg	-0.8229185236	-0.8108117067	-0.5015793002	1.2632336295	-1.271047859	-0.3171382914	-0.1524293888	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	1.3465761299
HotMustardSauce1pkg	-0.1730986308	2.0614097941	4.6613422638	-0.2369624783	-0.634088792	-0.3171382914	-0.1524293888	-0.9560562495	0.7357069966	0.2994200293	-1.1436040971	-0.4298628772	-0.1061837436
Sweet'NSourSauce1pkg	-0.8229185236	1.2571877739	-0.5015793002	1.0132009449	-1.271047859	-0.1229575678	-0.1524293888	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	1.3465761299
ChickenSelects®PremiumBreastStrips(3pc)	0.3057160271	0.5497142674	-0.0939802293	-1.4871259014	1.0421192789	-0.3171382914	-0.1360127044	-0.8940762127	-0.3479774113	1.3236909252	-0.3524011741	-0.4298628772	-1.6354046631
ChickenSelects®PremiumBreastStrips(5pc)	0.2736525455	0.5247712912	-0.2595673518	-1.4871259014	0.998118817	-0.3171382914	-0.1378082793	-0.8824549559	-0.4026826338	1.2238245129	-0.3382725504	-0.4298628772	-1.6194752785
SpicyBuffaloSauce	-0.8229185236	9.8246141936	-0.5015793002	-1.4871259014	-1.271047859	0.5150648097	-0.1524293888	-0.9560562495	-0.8481394457	2.7459642264	-1.1436040971	-0.4298628772	-2.0662565889
CreamyRanchSauce	-0.4684713094	0.254521359	-0.5015793002	-1.3734746812	-1.271047859	-0.3171382914	-0.1524293888	-0.9560562495	-0.8481394457	3.4132035528	0.4182510236	-0.4298628772	-2.3807067779
HoneyMustardSauce	-0.1730986308	0.5104101837	2.0798814818	-0.4453230488	-1.271047859	-0.3171382914	-0.1524293888	-0.9560562495	-0.8481394457	1.4670888506	-0.4277538334	-0.4298628772	-0.9132725622
ChipotleBarbequeSauce	-0.8229185236	1.8086543021	-0.5015793002	1.0132009449	-1.271047859	0.0712231558	-0.1524293888	-0.4850079703	1.0524762851	-1.2574717325	-1.1436040971	-0.4298628772	1.0237406024
PremiumSouthwestSaladwithGrilledChicken	1.0593184073	0.7342453765	3.2370880393	-1.0129259823	2.2871372736	2.3612165167	0.0357963888	-0.3469420954	1.6095533096	-0.1300673532	-0.4030693415	-0.4298628772	-0.9689338601
PremiumSouthwestSaladwithCrispyChicken	0.0435080002	0.4453064963	1.9077840964	-1.1259675792	0.6822932797	1.4089125849	-0.0484570545	-0.5635160169	0.7357069966	0.7145911658	-0.2845837807	-0.4298628772	-1.0208844047
PremiumSouthwestSalad(withoutchicken)	-0.2659300441	-0.0722404637	6.1364627107	-0.9513415772	0.3668468846	5.2308823824	0.1260679352	0.3056802125	2.5458172164	0.0770069205	0.0835677835	-0.4298628772	-0.2214821463
PremiumBaconRanchSaladwithGrilledChicken	2.0588914359	1.2871587809	2.1921189071	-1.2153512442	3.7138491867	3.0599177709	0.0848987655	-0.1880427509	1.2177472182	0.3671109755	0.3503442793	-0.4298628772	-1.8256338355
PremiumBaconRanchSaladwithCrispyChicken	0.5766935532	0.7269314968	1.0870119503	-1.2627375947	1.2767884088	1.6744588736	-0.0124666311	-0.5031252118	0.3702039715	1.0179854578	0.1779656205	-0.4298628772	-1.534110115
PremiumBaconRanchSalad(withoutchicken)	0.5695526753	0.6663307794	2.8174417053	-1.129936352	1.1857942564	5.2308823824	0.1817674	0.3056802125	1.867025884	1.0778659102	1.0039466939	-0.4298628772	-1.3744661729
PremiumCaesarSaladwithGrilledChicken	2.0499694237	1.2934684665	2.7592132666	-1.1581355269	4.1598662908	3.770876942	0.1348625875	0.2835444851	1.6526707264	-0.0283466574	0.2127437709	-0.4298628772	-1.677883022
PremiumCaesarSaladwithCrispyChicken	0.4024561314	0.6466355463	1.2685652361	-1.2370932168	1.2403907478	1.9020699781	0.0035291126	-0.2831301364	0.5094432192	1.0111419775	-0.0391494046	-0.4298628772	-1.420585534
PremiumCaesarSalad(withoutchicken)	0.0435080002	0.5678546137	4.6613422638	-0.9314977134	1.7014277868	8.3131160901	0.3674322826	1.6608786346	3.3754510672	0.5589019896	1.2425634485	-0.4298628772	-0.9132725622
SideSalad	-0.8229185236	-0.4661451266	7.2428030458	-0.2369624783	0.6398293419	10.6055274102	1.7970518788	0.2215644484	8.6549392083	-1.2574717325	-1.1436040971	-0.4298628772	0.700905075
ButterGarlicCroutons	-0.8229185236	0.7976323338	2.0798814818	-1.4871259014	0.0028702749	-0.3171382914	-0.1524293888	-0.5635160169	2.319553439	-0.0898029111	-1.1436040971	-0.4298628772	0.1628458626
SnackSizeFruit&WalnutSalad1pkg	-0.6372556971	-0.6138593752	0.9735411467	0.001163888	-0.5430946396	-0.3171382914	1.1100918131	-0.5074388408	-0.3956118908	0.2994200293	-0.5300181568	-0.4298628772	-0.1446165445
PremiumAsianSalad(withoutchicken)**	-0.8229185236	-0.6499673027	4.6613422638	-0.7370278475	0.7672211552	4.8610143375	0.3154461154	-0.1709757843	3.9033998813	0.922176734	-0.8572639916	-0.4298628772	-0.9132725622
PremiumAsianSaladwithCrispyChicken**	0.0125641957	0.4365530594	1.7111013701	-1.0406389646	0.9128117991	1.5322019332	0.0332354939	-0.5354774288	1.4144983291	0.9666593558	-0.5300181568	-0.4298628772	-1.1823021685
PremiumAsianSaladwithGrilledChicken**	0.9099345239	0.6955089026	2.9403684092	-0.8851953644	2.692253002	2.5596131691	0.1941450588	-0.5199004355	2.671519315	0.1264320558	-0.8254484243	-0.4298628772	-1.2719787039
Newman'sOwnCreamySouthwestDressing(44ml)	0.7366492192	1.532921038	-0.5015793002	-1.1120768745	-0.8888724188	-0.3171382914	-0.1524293888	-0.7205321099	0.1021684197	1.0778659102	-0.2845837807	-0.4298628772	-0.7518547985
Newman'sOwnCreamyCaesarDressing(59ml)	-0.0020933958	1.0032229254	-0.5015793002	-1.3555297516	-0.868757922	-0.3171382914	-0.1524293888	-0.5841760291	-0.8481394457	2.9215535228	0.4388017489	-0.4298628772	-2.1876233285
Newman'sOwnLowFatBalsamicVinaigrette(44ml)	-0.8229185236	7.4611862158	-0.5015793002	-0.415557253	-1.271047859	-0.3171382914	-0.1524293888	-0.9560562495	-0.8481394457	2.0787248999	-1.1436040971	-0.4298628772	-1.1438693676
Newman'sOwnLowFatFamilyRecipeItalianDressing(44ml)	-0.8229185236	4.5659869429	-0.5015793002	-0.9870605322	-0.5066969787	-0.3171382914	-0.1524293888	-0.4850079703	-0.8481394457	0.6107983817	-0.2845837807	-0.4298628772	-0.2676015073
Newman'sOwnRanchDressing(59ml)	0.0944742663	1.3382857927	-0.5015793002	-1.1929698019	-1.0462387765	-0.3171382914	-0.1524293888	-0.6789690265	-0.8481394457	2.3142211328	0.1196610741	-0.4298628772	-1.672885568
Newman'sOwnLowFatSesameGingerDressing**(44ml)	-0.8229185236	2.3294838009	1.2193945545	-0.2369624783	-0.846408481	-0.3171382914	-0.0831144993	-0.9560562495	-0.8481394457	0.039938069	-1.1436040971	-0.4298628772	0.1628458626
EggMcMuffin	5.9352083619	1.0733655978	0.5310050126	-1.3621095591	1.022004782	-0.1553210217	-0.1524293888	0.2215644484	2.319553439	0.4551092055	0.2880964303	-0.4298628772	-0.9132725622
SausageMcMuffin®	0.1254672659	0.7727914992	0.3356512237	-1.4195495002	0.1750213741	-0.2384163764	-0.1439991995	-0.1603665888	1.0781602815	1.2672176109	0.7137371276	-0.4298628772	-1.2622839433
SausageMcMuffin®withEgg	4.1157126619	0.598491643	0.1868102417	-1.4315630826	0.5124375285	-0.2092601116	-0.1454978998	-0.1709757843	1.2636558107	1.3373478705	0.7653299394	-0.4298628772	-1.4513317747
EnglishMuffin	-0.8229185236	0.3955213236	1.4345162863	-1.3308554735	-0.0767496085	-0.2564568153	-0.1524293888	0.1479631547	2.1215726337	-0.3817201165	-0.8751602482	-0.4298628772	0.1964745634
Bacon,Egg&CheeseBiscuit(RegularSizeBiscuit)	3.5401578997	1.093060831	0.2359809233	-1.3978285141	0.0938644273	-0.2015545273	-0.1524293888	-0.5354774288	0.8488388854	1.0778659102	1.310739664	-0.4298628772	-1.1054365667
Bacon,Egg&CheeseBiscuit(LargeSizeBiscuit)	2.9947733468	1.0130489463	0.4664684931	-1.3829456162	-0.0767496085	-0.1654346011	-0.1524293888	-0.5880497814	1.1316686072	1.0778659102	1.0039466939	-0.4298628772	-1.0814160661
SausageBiscuitwithEgg(RegularSizeBiscuit)	2.9995514342	0.7705996608	0.1058232368	-1.4380998849	0.0778066357	-0.2600263139	-0.1524293888	-0.7251502303	1.01520931	1.3984024494	1.2144908891	-0.4298628772	-1.3880306909
SausageBiscuitwithEgg(LargeSizeBiscuit)	2.5971861755	0.7371645127	0.3136188415	-1.4213278265	-0.0641780479	-0.2319713074	-0.1524293888	-0.749456127	0.8190673357	1.4466034327	1.1169756829	-0.4298628772	-1.338056151
SausageBiscuit(RegularSizeBiscuit)	-0.2788832645	0.9205366957	0.2188283599	-1.4289787655	-0.2933897562	-0.3171382914	-0.1524293888	-0.7917370823	0.809374273	1.3494167989	1.2536619022	-0.4298628772	-1.2511236956
SausageBiscuit(LargeSizeBiscuit)	-0.335553604	0.8981600863	0.4664684931	-1.4089906875	-0.3952291419	-0.276683974	-0.1524293888	-0.7597861332	0.636716594	1.4670888506	1.1829092598	-0.4298628772	-1.2159308692
SouthernStyleChickenBiscuit(RegularSizeBiscuit)	-0.2523449592	1.1731227544	0.253970197	-1.395650529	0.3135820149	-0.3171382914	-0.144821657	-0.7837215132	0.8902286008	0.7930686367	0.5325331056	-0.4298628772	-0.9132725622
SouthernStyleChickenBiscuit(LargeSizeBiscuit)	-0.3251841376	1.0811878181	0.4870652547	-1.3807290144	0.1112888395	-0.2758232438	-0.1457928568	-0.7556101732	0.6683092757	0.9288018053	0.5013284237	-0.4298628772	-0.9476167673
Steak,Egg&CheeseBagel†	2.6916003334	0.8397043107	0.152875546	-1.3638703527	0.7743981588	-0.1803913029	-0.1436429943	-0.6243321092	1.1595532277	0.9791896718	0.4292500034	2.2200810265	-1.2542960067
Bacon,Egg&CheeseMcGriddles®	3.632989313	1.0109973595	0.2359809233	-1.0406389646	0.0938644273	-0.2015545273	-0.1524293888	-0.3952844886	0.8488388854	0.5218331381	0.492625077	-0.4298628772	-0.6826757569
Sausage,Egg&CheeseMcGriddles®	2.8671301536	0.8632831109	0.0515908674	-1.1522606988	0.0938644273	-0.2304504684	-0.1524293888	-0.5354774288	0.4245943026	1.161270826	0.6971537238	-0.4298628772	-1.1438693676
SausageMcGriddles®	-0.1730986308	0.8796958052	0.2359809233	-1.0406389646	-0.2701121824	-0.3171382914	-0.1524293888	-0.7317475451	0.2831794417	0.9666593558	0.492625077	-0.4298628772	-0.8364069605
BigBreakfast®(RegularSizeBiscuit)	5.0254605119	0.6423771175	0.1263435928	-1.4364436005	0.1750213741	-0.2187358977	-0.1482142941	-0.7173493513	0.7571103269	1.4565693117	0.8298209541	-0.4298628772	-1.4149764225
BigBreakfast®(LargeSizeBiscuit)	4.5868320843	0.6367879297	0.2728589344	-1.4402447731	0.0665661816	-0.2261160772	-0.1485304262	-0.7352523686	0.9336878019	1.4865499977	0.7891916148	-0.4298628772	-1.3975258534
BigBreakfastwithHotcakes(RegularSizeBiscuit)	3.2906202475	0.5488821414	0.3510132517	-1.292146285	-0.0088170474	-0.2503329966	-0.1495677649	-0.6859597591	0.895544711	0.9278900983	0.3537707664	-0.4298628772	-0.883654624
BigBreakfastwithHotcakes(LargeSizeBiscuit)	3.0760008334	0.5438778081	0.4412150724	-1.3023191345	-0.074672568	-0.2538184902	-0.149717067	-0.64885085	0.8045698854	0.9357149233	0.3503442793	-0.4298628772	-0.899236235
SausageBurrito	2.1662529834	1.0963433698	0.0147128562	-1.4037816732	0.2576539017	-0.1553210217	-0.1420321553	-0.3672459006	1.5276302178	0.922176734	0.8607766412	-0.4298628772	-1.1284962472
McSkillet™BurritowithSausage	4.4182517596	0.7599638551	0.2601632257	-1.4051479721	0.4205483516	-0.1579737639	-0.1268624213	-0.5699511026	1.0992127375	1.1927185811	0.8279179405	0.5982574352	-1.3631253464
Hotcakes	-0.37732774	0.351207049	0.826029102	-0.9870605322	-0.3975039958	-0.3171382914	-0.1524293888	-0.4513616647	1.1882345516	-0.1898888101	-0.6527353448	-0.4298628772	0.2397114644
HotcakesandSausage	-0.0731263396	0.4220341375	0.3920032782	-1.1505434414	-0.1686187047	-0.3171382914	-0.1524293888	-0.6163579713	0.5224968986	0.6287625174	0.0127694058	-0.4298628772	-0.6338956635
HotcakeSyrup1pkg	-0.8229185236	-0.7342191334	-0.5015793002	0.7353868509	-1.271047859	-0.3171382914	-0.1524293888	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	1.5079938936
WhippedMargarine(1pat)6g40404.571.580005520000004000HashBrown	-0.8229185236	0.6138101577	1.5635893254	-1.4871259014	-1.0162642322	-0.3171382914	-0.1316349219	-0.9560562495	-0.2146008688	1.2335550864	-0.2845837807	-0.4298628772	-0.9132725622
GrapeJam	-0.8229185236	-0.8108117067	-0.5015793002	1.7275800439	-1.271047859	-0.3171382914	-0.0633102451	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	1.6232922963
